text,category
photos of Sky Clouds,ask_database
Flowers Garden Park,ask_database
image of Desert,ask_database
Snow Rain Thunderstorm,ask_database
Trees Leaves,ask_database
Grass,ask_database
Wildlife,ask_database
Birds Butterflies,ask_database
Campfire Hiking trail Cliff,ask_database
Nature walk,ask_database
Autumn,ask_database
Car Bike Bus,ask_database
Train Plane Boat,ask_database
House Room Bed,ask_database
Chair Table,ask_database
Mirror Glasses,ask_database
Window Door,ask_database
Television Computer,ask_database
Laptop Phone,ask_database
Camera Watch,ask_database
Books Bag,ask_database
Shoes,ask_database
Clothes Hat,ask_database
Accessories,ask_database
Wallet Keys,ask_database
Gift Happy,ask_database
Sad Angry,ask_database
Laughing,ask_database
Crying,ask_database
Surprised,ask_database
Excited,ask_database
Confused,ask_database
Cute,ask_database
Romantic,ask_database
Nervous,ask_database
Relaxed Cheerful,ask_database
Funny,ask_database
Moody,ask_database
Dog Cat Puppy Kitten,ask_database
Bird Fish,ask_database
Rabbit,ask_database
Horse Cow,ask_database
Goat Sheep,ask_database
Chicken,ask_database
Turtle,ask_database
Snake,ask_database
Frog,ask_database
Monkey,ask_database
Cat,ask_database
Dog,ask_database
Lion,ask_database
Tiger,ask_database
Goat,ask_database
Chicken,ask_database
Deer,ask_database
Elephant,ask_database
Dolphin,ask_database
Squirrel,ask_database
Coffee,ask_database
Tea,ask_database
Juice,ask_database
Wine,ask_database
Beer,ask_database
Cocktail,ask_database
Ice cream,ask_database
Cake,ask_database
Pizza Burger,ask_database
Pasta,ask_database
Salad,ask_database
Fruits,ask_database
Vegetables,ask_database
BBQ,ask_database
Chocolate,ask_database
Fast food,ask_database
Breakfast Lunch,ask_database
taking Dinner,ask_database
Selfie,ask_database
Headphones Earbuds,ask_database
Keyboard Mouse,ask_database
Gaming Streaming,ask_database
Tablet Smartwatch,ask_database
Drone VR headset,ask_database
Charger Smartphone,ask_database
Screenshot,ask_database
Self-timer,ask_database
Social media,ask_database
Zoom call,ask_database
Online class,ask_database
Video recording,ask_database
Podcast,ask_database
similar images as given image,ask_database
Find images similar to the given picture.,ask_database
Find pictures similar to the given image.,ask_database
Find photos similar to the given photo.,ask_database
Find some images similar to the given picture.,ask_database
Search for some photos similar to the given image.,ask_database
retrive some photos similar to the given photo.,ask_database
Find people wearing yellow dresses in the given image.,ask_database
Search for images where people are wearing hats similar to the one in the provided image.,ask_database
"Find pictures that contain groups of people dressed in formal attire, similar to this photo.",ask_database
search images with individuals wearing red jackets as seen in the uploaded image.,ask_database
Search for images containing objects present in the given image.,ask_database
Find pictures featuring bicycles similar to the one shown in the input photo.,ask_database
Find pictures featuring bus similar to the one shown in the input picture.,ask_database
Find pictures featuring cat similar to the one shown in the input image.,ask_database
Retrieve images containing the same type of car as seen in the given image.,ask_database
Retrieve images containing the same type of birds and girls as seen in the given photo.,ask_database
Give images with landscapes resembling the scene in the provided picture.,ask_database
Give images with beach resembling the scene in the provided image.,ask_database
Give images with cloudy sky resembling the scene in the provided image.,ask_database
Find images with a city skyline similar to the one in the given photo.,ask_database
Search for pictures with a forest or natural scenery similar to the uploaded picture.,ask_database
Give images similar to the scene in the provided image.,ask_database
Give images having the same scene in the provided picture.,ask_database
Can you describe the image I just uploaded?,describe_image
What does this picture depict?,describe_image
Please provide a detailed description of this image.,describe_image
What's going on in this photo?,describe_image
Can you tell me the story behind this picture?,describe_image
What objects and people do you see in this image?,describe_image
Give me a narrative of this picture.,describe_image
Describe the setting and mood of this image.,describe_image
What details can you observe in this photograph?,describe_image
Summarize what you see in this image.,describe_image
Identify the key elements in this photo.,describe_image
Explain what is happening in this picture.,describe_image
What are the notable features of this image?,describe_image
Could you describe the background and foreground of this picture?,describe_image
What is the context of this image?,describe_image
Describe the scene depicted in this image.,describe_image
What can you tell me about the people in this photo?,describe_image
What emotions does this image evoke?,describe_image
Can you analyze this picture for me?,describe_image
Provide an in-depth description of the image.,describe_image
What is the primary focus of this image?,describe_image
List all the elements visible in the uploaded photo.,describe_image
Can you highlight the details in this picture?,describe_image
Break down the components of this image for me.,describe_image
What does the composition of this image suggest?,describe_image
